name	x	y	z	type	material
A1	-0.005	0.001	0.120	active/cap	Ag/AgCl
A2	-0.026	0.001	0.116	active/cap	Ag/AgCl
A3	-0.029	0.026	0.110	active/cap	Ag/AgCl
A4	-0.049	0.018	0.101	active/cap	Ag/AgCl
A5	-0.064	0.024	0.085	active/cap	Ag/AgCl
A6	-0.076	0.024	0.068	active/cap	Ag/AgCl
A7	-0.082	0.024	0.049	active/cap	Ag/AgCl
A8	-0.083	0.022	0.029	active/cap	Ag/AgCl
A9	-0.080	0.021	0.011	active/cap	Ag/AgCl
A10	-0.077	0.019	-0.007	active/cap	Ag/AgCl
A11	-0.082	-0.000	-0.005	active/cap	Ag/AgCl
A12	-0.084	0.000	0.011	active/cap	Ag/AgCl
A13	-0.087	0.000	0.030	active/cap	Ag/AgCl
A14	-0.087	0.000	0.047	active/cap	Ag/AgCl
A15	-0.083	0.000	0.064	active/cap	Ag/AgCl
A16	-0.073	0.001	0.081	active/cap	Ag/AgCl
A17	-0.060	0.000	0.096	active/cap	Ag/AgCl
A18	-0.045	0.001	0.108	active/cap	Ag/AgCl
A19	-0.027	-0.025	0.112	active/cap	Ag/AgCl
A20	-0.050	-0.017	0.102	active/cap	Ag/AgCl
A21	-0.065	-0.023	0.086	active/cap	Ag/AgCl
A22	-0.077	-0.023	0.069	active/cap	Ag/AgCl
A23	-0.083	-0.023	0.050	active/cap	Ag/AgCl
A24	-0.083	-0.022	0.029	active/cap	Ag/AgCl
A25	-0.081	-0.020	0.010	active/cap	Ag/AgCl
A26	-0.078	-0.020	-0.007	active/cap	Ag/AgCl
A27	-0.065	-0.038	-0.009	active/cap	Ag/AgCl
A28	-0.070	-0.040	0.008	active/cap	Ag/AgCl
A29	-0.071	-0.042	0.029	active/cap	Ag/AgCl
A30	-0.070	-0.042	0.049	active/cap	Ag/AgCl
A31	-0.064	-0.042	0.067	active/cap	Ag/AgCl
A32	-0.052	-0.043	0.084	active/cap	Ag/AgCl
B1	-0.050	-0.053	0.062	active/cap	Ag/AgCl
B2	-0.054	-0.055	0.042	active/cap	Ag/AgCl
B3	-0.053	-0.057	0.022	active/cap	Ag/AgCl
B4	-0.049	-0.054	0.004	active/cap	Ag/AgCl
B5	-0.045	-0.051	-0.014	active/cap	Ag/AgCl
B6	-0.026	-0.065	0.021	active/cap	Ag/AgCl
B7	-0.026	-0.064	0.042	active/cap	Ag/AgCl
B8	-0.029	-0.061	0.061	active/cap	Ag/AgCl
B9	-0.033	-0.056	0.079	active/cap	Ag/AgCl
B10	-0.035	-0.045	0.095	active/cap	Ag/AgCl
B11	-0.014	-0.047	0.101	active/cap	Ag/AgCl
B12	-0.007	-0.058	0.086	active/cap	Ag/AgCl
B13	-0.003	-0.064	0.068	active/cap	Ag/AgCl
B14	-0.000	-0.067	0.050	active/cap	Ag/AgCl
B15	0.006	-0.067	0.032	active/cap	Ag/AgCl
B16	0.010	-0.064	0.014	active/cap	Ag/AgCl
B17	0.012	-0.061	-0.003	active/cap	Ag/AgCl
B18	0.039	-0.060	0.010	active/cap	Ag/AgCl
B19	0.037	-0.062	0.028	active/cap	Ag/AgCl
B20	0.032	-0.063	0.047	active/cap	Ag/AgCl
B21	0.028	-0.062	0.066	active/cap	Ag/AgCl
B22	0.023	-0.056	0.084	active/cap	Ag/AgCl
B23	0.007	-0.045	0.103	active/cap	Ag/AgCl
B24	0.029	-0.043	0.098	active/cap	Ag/AgCl
B25	0.048	-0.054	0.072	active/cap	Ag/AgCl
B26	0.059	-0.056	0.054	active/cap	Ag/AgCl
B27	0.063	-0.055	0.036	active/cap	Ag/AgCl
B28	0.064	-0.054	0.018	active/cap	Ag/AgCl
B29	0.086	-0.042	0.044	active/cap	Ag/AgCl
B30	0.080	-0.042	0.062	active/cap	Ag/AgCl
B31	0.066	-0.043	0.077	active/cap	Ag/AgCl
B32	0.051	-0.042	0.090	active/cap	Ag/AgCl
C1	0.089	-0.041	0.027	active/cap	Ag/AgCl
C2	0.103	-0.022	0.032	active/cap	Ag/AgCl
C3	0.101	-0.024	0.050	active/cap	Ag/AgCl
C4	0.092	-0.024	0.070	active/cap	Ag/AgCl
C5	0.077	-0.024	0.086	active/cap	Ag/AgCl
C6	0.060	-0.023	0.099	active/cap	Ag/AgCl
C7	0.038	-0.024	0.108	active/cap	Ag/AgCl
C8	0.016	-0.025	0.114	active/cap	Ag/AgCl
C9	-0.006	-0.026	0.116	active/cap	Ag/AgCl
C10	0.016	-0.001	0.120	active/cap	Ag/AgCl
C11	0.036	-0.001	0.114	active/cap	Ag/AgCl
C12	0.056	0.000	0.106	active/cap	Ag/AgCl
C13	0.074	0.000	0.095	active/cap	Ag/AgCl
C14	0.089	0.000	0.083	active/cap	Ag/AgCl
C15	0.101	0.001	0.068	active/cap	Ag/AgCl
C16	0.107	0.001	0.050	active/cap	Ag/AgCl
C17	0.107	0.001	0.032	active/cap	Ag/AgCl
C18	0.102	0.023	0.033	active/cap	Ag/AgCl
C19	0.101	0.023	0.053	active/cap	Ag/AgCl
C20	0.092	0.023	0.071	active/cap	Ag/AgCl
C21	0.077	0.023	0.087	active/cap	Ag/AgCl
C22	0.059	0.023	0.100	active/cap	Ag/AgCl
C23	0.038	0.022	0.109	active/cap	Ag/AgCl
C24	0.016	0.024	0.114	active/cap	Ag/AgCl
C25	-0.008	0.025	0.116	active/cap	Ag/AgCl
C26	0.008	0.045	0.102	active/cap	Ag/AgCl
C27	0.030	0.043	0.098	active/cap	Ag/AgCl
C28	0.050	0.042	0.090	active/cap	Ag/AgCl
C29	0.067	0.042	0.078	active/cap	Ag/AgCl
C30	0.080	0.042	0.062	active/cap	Ag/AgCl
C31	0.087	0.042	0.045	active/cap	Ag/AgCl
C32	0.089	0.042	0.028	active/cap	Ag/AgCl
D1	0.065	0.053	0.020	active/cap	Ag/AgCl
D2	0.063	0.055	0.038	active/cap	Ag/AgCl
D3	0.059	0.054	0.056	active/cap	Ag/AgCl
D4	0.049	0.053	0.073	active/cap	Ag/AgCl
D5	0.023	0.056	0.084	active/cap	Ag/AgCl
D6	0.029	0.062	0.066	active/cap	Ag/AgCl
D7	0.033	0.063	0.047	active/cap	Ag/AgCl
D8	0.036	0.062	0.028	active/cap	Ag/AgCl
D9	0.039	0.060	0.010	active/cap	Ag/AgCl
D10	0.012	0.061	-0.005	active/cap	Ag/AgCl
D11	0.010	0.064	0.013	active/cap	Ag/AgCl
D12	0.006	0.067	0.032	active/cap	Ag/AgCl
D13	-0.000	0.067	0.050	active/cap	Ag/AgCl
D14	-0.003	0.064	0.069	active/cap	Ag/AgCl
D15	-0.006	0.058	0.086	active/cap	Ag/AgCl
D16	-0.014	0.046	0.100	active/cap	Ag/AgCl
D17	-0.035	0.046	0.093	active/cap	Ag/AgCl
D18	-0.032	0.056	0.077	active/cap	Ag/AgCl
D19	-0.029	0.062	0.059	active/cap	Ag/AgCl
D20	-0.027	0.064	0.041	active/cap	Ag/AgCl
D21	-0.026	0.064	0.022	active/cap	Ag/AgCl
D22	-0.045	0.051	-0.013	active/cap	Ag/AgCl
D23	-0.049	0.054	0.004	active/cap	Ag/AgCl
D24	-0.051	0.056	0.023	active/cap	Ag/AgCl
D25	-0.053	0.054	0.042	active/cap	Ag/AgCl
D26	-0.049	0.053	0.062	active/cap	Ag/AgCl
D27	-0.052	0.044	0.082	active/cap	Ag/AgCl
D28	-0.063	0.042	0.066	active/cap	Ag/AgCl
D29	-0.069	0.041	0.047	active/cap	Ag/AgCl
D30	-0.070	0.040	0.028	active/cap	Ag/AgCl
D31	-0.069	0.038	0.009	active/cap	Ag/AgCl
D32	-0.065	0.036	-0.008	active/cap	Ag/AgCl
