time	plasma_radioactivity	whole_blood_radioactivity	metabolite_parent_fraction	metabolite_polar_fraction	metabolite_lipophilic_fraction
0	0	0	1	0	0
145	43.31	33.79	0.5749	0.1336	0.2914
292	48.96	37.42	0.3149	0.2746	0.4105
602	39.84	32.05	0.1469	0.3548	0.4983
1248	37.38	31.52	0.073	0.444	0.483
1785	36.4	28.83	0.078	0.429	0.493
2390	33.13	26.32	0.061	0.453	0.486
3059	30.83	25.22	0.049	0.473	0.478
4196	27.28	21.98	0.036	0.503	0.46
5407	22.7	19.49	0.032	0.523	0.445
7193	19.71	15.7	0.02	0.559	0.422